passenger_id,survived,pclass,gender,age,sibsp,parch,fare
56,0,1,1,36,1,0,78.85
57,1,1,0,76,1,0,78.85
58,0,1,1,46,1,0,61.175
59,1,1,0,47,1,0,61.175
60,1,1,1,27,1,0,53.1
61,1,1,0,33,1,0,53.1
62,1,1,0,36,0,0,262.375
63,1,1,0,30,0,0,86.5
64,1,1,1,45,0,0,29.7
65,0,1,1,27,1,0,136.7792
66,1,1,0,26,1,0,136.7792
67,1,1,0,22,0,0,151.55
68,0,1,1,47,0,0,25.5875
69,1,1,0,39,1,1,83.1583
70,0,1,1,37,1,1,83.1583
71,1,1,0,64,0,2,83.1583
72,1,1,0,55,2,0,25.7
73,0,1,1,70,1,1,71
74,1,1,0,36,0,2,71
75,1,1,0,64,1,1,26.55
76,0,1,1,39,1,0,71.2833
77,1,1,0,38,1,0,71.2833
78,1,1,1,51,0,0,26.55
79,1,1,1,27,0,0,30.5
80,1,1,0,33,0,0,151.55
81,0,1,1,31,1,0,52
82,1,1,0,27,1,2,52
83,1,1,1,31,1,0,57
84,1,1,0,17,1,0,57
85,1,1,1,53,1,1,81.8583
86,1,1,1,4,0,2,81.8583
87,1,1,0,54,1,1,81.8583
88,0,1,1,50,1,0,106.425
89,1,1,0,27,1,1,247.5208
90,1,1,0,48,1,0,106.425
91,1,1,0,48,1,0,39.6
92,1,1,1,49,1,0,56.9292
93,0,1,1,39,0,0,29.7
94,1,1,0,23,0,1,83.1583
95,1,1,0,38,0,0,227.525
96,1,1,0,54,1,0,78.2667
97,0,1,0,36,0,0,31.6792
98,1,1,1,36,0,0,26.3875
99,0,1,1,30,0,0,27.75
100,1,1,0,24,3,2,263
101,1,1,0,28,3,2,263
102,1,1,0,23,3,2,263
103,0,1,1,19,3,2,263
104,0,1,1,64,1,4,263
105,1,1,0,60,1,4,263
106,1,1,0,30,0,0,56.9292
107,1,1,1,50,2,0,133.65
108,1,1,1,43,1,0,27.7208
109,1,1,0,22,0,2,49.5
110,1,1,1,60,1,1,79.2
111,1,1,0,48,1,1,79.2
112,0,1,1,37,1,0,53.1
113,1,1,0,35,1,0,53.1
114,0,1,1,47,0,0,38.5
115,1,1,0,35,0,0,211.5
116,1,1,0,22,0,1,59.4
117,1,1,0,45,0,1,59.4
118,0,1,1,24,0,0,79.2
119,1,1,1,49,1,0,89.1042
120,0,1,1,71,0,0,34.6542
121,1,1,1,53,0,0,28.5
122,1,1,0,19,0,0,30
123,0,1,1,38,0,1,153.4625
124,1,1,0,58,0,1,153.4625
125,1,1,1,23,0,1,63.3583
126,1,1,0,45,0,1,63.3583
127,0,1,1,46,0,0,79.2
128,1,1,1,25,1,0,55.4417
129,1,1,0,25,1,0,55.4417
130,1,1,1,48,1,0,76.7292
131,1,1,0,49,1,0,76.7292
132,0,1,1,45,1,0,83.475
133,1,1,0,35,1,0,83.475
134,0,1,1,40,0,0,0
135,1,1,1,27,0,0,76.7292
136,1,1,0,24,0,0,83.1583
137,0,1,1,55,1,1,93.5
138,1,1,0,52,1,1,93.5
139,0,1,1,42,0,0,42.5
140,0,1,1,55,0,0,50
141,1,1,0,16,0,1,57.9792
142,1,1,0,44,0,1,57.9792
143,1,1,0,51,1,0,77.9583
144,0,1,1,42,1,0,52
145,1,1,0,35,1,0,52
146,1,1,1,35,0,0,26.55
147,1,1,1,38,1,0,90
148,1,1,0,35,1,0,90
149,1,1,0,38,0,0,80
150,0,1,0,50,0,0,28.7125
151,1,1,1,49,0,0,0
152,0,1,1,46,0,0,26
153,0,1,1,50,0,0,26
154,0,1,1,33,0,0,211.5
155,0,1,1,58,0,0,29.7
156,0,1,1,41,1,0,51.8625
157,1,1,1,42,1,0,52.5542
158,1,1,0,45,1,0,52.5542
159,1,1,0,39,0,0,211.3375
160,1,1,0,49,0,0,25.9292
161,1,1,0,30,0,0,106.425
162,1,1,1,35,0,0,512.3292
163,0,1,1,42,0,0,26.55
164,1,1,0,55,0,0,27.7208
165,1,1,0,16,0,1,39.4
166,1,1,0,51,0,1,39.4
167,0,1,1,29,0,0,30
168,1,1,0,21,0,0,77.9583
169,0,1,1,30,0,0,45.5
170,1,1,0,58,0,0,146.5208
171,1,1,0,15,0,1,211.3375
172,0,1,1,30,0,0,26
173,1,1,0,16,0,0,86.5
174,0,1,1,19,1,0,53.1
175,1,1,0,18,1,0,53.1
176,1,1,0,24,0,0,49.5042
177,0,1,1,46,0,0,75.2417
178,0,1,1,54,0,0,51.8625
179,1,1,1,36,0,0,26.2875
180,0,1,1,28,1,0,82.1708
181,0,1,1,65,0,0,26.55
182,0,1,1,44,2,0,90
183,1,1,0,33,1,0,90
184,1,1,0,37,1,0,90
185,1,1,1,30,1,0,57.75
186,0,1,1,55,0,0,30.5
187,0,1,1,47,0,0,42.4
188,0,1,1,37,0,1,29.7
189,1,1,0,31,1,0,113.275
190,1,1,0,23,1,0,113.275
191,0,1,1,58,0,2,113.275
192,1,1,0,19,0,2,26.2833
193,0,1,1,64,0,0,26
194,1,1,0,39,0,0,108.9
195,1,1,0,22,0,1,61.9792
196,0,1,1,65,0,1,61.9792
197,0,1,1,29,0,0,27.7208
198,0,1,1,46,0,0,28.5
199,0,1,1,23,0,0,93.5
200,0,1,1,29,1,0,66.6
201,1,1,0,22,1,0,66.6
202,0,1,1,18,1,0,108.9
203,1,1,0,17,1,0,108.9
204,1,1,0,30,0,0,93.5
205,1,1,1,52,0,0,30.5
206,0,1,1,47,0,0,52
207,1,1,0,56,0,1,83.1583
208,0,1,1,38,0,0,0
209,0,1,1,22,0,0,135.6333
210,1,1,0,43,0,1,211.3375
211,0,1,1,31,0,0,50.4958
212,1,1,1,45,0,0,26.55
213,1,1,0,33,0,0,27.7208
214,0,1,1,46,0,0,79.2
215,0,1,1,36,0,0,40.125
216,1,1,0,33,0,0,86.5
217,0,1,1,55,1,0,59.4
218,1,1,0,54,1,0,59.4
219,0,1,1,33,0,0,26.55
220,1,1,1,13,2,2,262.375
221,1,1,0,18,2,2,262.375
222,1,1,0,21,2,2,262.375
223,0,1,1,61,1,3,262.375
224,1,1,0,48,1,3,262.375
225,1,1,0,24,0,0,69.3
226,1,1,0,35,1,0,57.75
227,1,1,0,30,0,0,31
228,1,1,1,34,0,0,26.55
229,1,1,0,40,0,0,153.4625
230,1,1,1,35,0,0,26.2875
231,0,1,1,50,1,0,55.9
232,1,1,0,39,1,0,55.9
233,1,1,1,56,0,0,35.5
234,1,1,1,28,0,0,35.5
235,0,1,1,56,0,0,26.55
236,0,1,1,56,0,0,30.6958
237,0,1,1,24,1,0,60
238,1,1,0,18,1,0,60
239,1,1,1,24,1,0,82.2667
240,1,1,0,23,1,0,82.2667
241,1,1,1,6,0,2,134.5
242,1,1,1,45,1,1,134.5
243,1,1,0,40,1,1,134.5
244,0,1,1,57,1,0,146.5208
245,1,1,1,32,0,0,30.5
246,0,1,1,62,0,0,26.55
247,1,1,1,54,1,0,55.4417
248,1,1,0,43,1,0,55.4417
249,1,1,0,52,1,0,78.2667
250,1,1,0,62,0,0,80
251,0,1,1,67,1,0,221.7792
252,0,1,0,63,1,0,221.7792
253,0,1,1,61,0,0,32.3208
254,1,1,0,48,0,0,25.9292
255,1,1,0,18,0,2,79.65
256,0,1,1,52,1,1,79.65
257,1,1,0,39,1,1,79.65
258,1,1,1,48,1,0,52
259,0,1,1,49,1,1,110.8833
260,1,1,1,17,0,2,110.8833
261,1,1,0,39,1,1,110.8833
262,1,1,1,31,0,0,28.5375
263,0,1,1,40,0,0,27.7208
264,0,1,1,61,0,0,33.5
265,0,1,1,47,0,0,34.0208
266,1,1,0,35,0,0,512.3292
267,0,1,1,64,1,0,75.25
268,1,1,0,60,1,0,75.25
269,0,1,1,60,0,0,26.55
270,0,1,1,54,0,1,77.2875
271,0,1,1,21,0,1,77.2875
272,1,1,0,55,0,0,135.6333
273,1,1,0,31,0,2,164.8667
274,0,1,1,57,1,1,164.8667
275,1,1,0,45,1,1,164.8667
276,0,1,1,50,1,1,211.5
277,0,1,1,27,0,2,211.5
278,1,1,0,50,1,1,211.5
279,1,1,0,21,0,0,26.55
280,0,1,1,51,0,1,61.3792
281,1,1,1,21,0,1,61.3792
282,1,1,0,31,0,0,134.5
283,0,1,1,62,0,0,26.55
284,1,1,0,36,0,0,135.6333
285,0,2,1,30,1,0,24
286,1,2,0,28,1,0,24
287,0,2,1,30,0,0,13
288,0,2,1,18,0,0,11.5
289,0,2,1,25,0,0,10.5
290,0,2,1,34,1,0,26
291,1,2,0,36,1,0,26
292,0,2,1,57,0,0,13
293,0,2,1,18,0,0,11.5
294,0,2,1,23,0,0,10.5
295,1,2,0,37,0,0,13
296,0,2,1,28,0,0,10.5
297,0,2,1,51,0,0,12.525
298,1,2,1,32,1,0,26
299,1,2,0,19,1,0,26
300,0,2,1,28,0,0,26
301,1,2,1,1,2,1,39
302,1,2,0,4,2,1,39
303,1,2,0,12,2,1,39
304,1,2,0,35,0,3,39
305,1,2,1,34,0,0,13
306,1,2,0,19,0,0,13
307,0,2,1,23,0,0,13
308,0,2,1,26,0,0,13
309,0,2,1,42,0,0,13
310,0,2,1,27,0,0,13
311,1,2,0,24,0,0,13
312,1,2,0,15,0,2,39
313,0,2,1,60,1,1,39
314,1,2,0,40,1,1,39
315,1,2,0,20,1,0,26
316,0,2,1,25,1,0,26
317,1,2,0,30,0,0,13
318,0,2,1,25,0,0,13
319,0,2,1,42,0,0,13
320,1,2,0,42,0,0,13
321,1,2,1,1,0,2,29
322,1,2,1,26,1,1,29
323,1,2,0,22,1,1,29
324,1,2,0,35,0,0,21
325,0,2,1,19,0,0,13
326,0,2,0,44,1,0,26
327,0,2,1,54,1,0,26
328,0,2,1,52,0,0,13.5
329,0,2,1,37,1,0,26
330,0,2,0,29,1,0,26
331,1,2,0,25,1,1,30
332,1,2,0,45,0,2,30
333,0,2,1,29,1,0,26
334,1,2,0,28,1,0,26
335,0,2,1,29,0,0,10.5
336,0,2,1,28,0,0,13
337,1,2,1,24,0,0,10.5
338,1,2,0,8,0,2,26.25
339,0,2,1,31,1,1,26.25
340,1,2,0,31,1,1,26.25
341,1,2,0,22,0,0,10.5
342,0,2,0,30,0,0,13
343,0,2,1,21,0,0,11.5
344,1,2,1,8,1,1,36.75
345,0,2,1,18,0,0,73.5
346,1,2,0,48,0,2,36.75
347,1,2,0,28,0,0,13
348,0,2,1,32,0,0,13
349,0,2,1,17,0,0,73.5
350,0,2,1,29,1,0,27.7208
351,1,2,0,24,1,0,27.7208
352,0,2,1,25,0,0,31.5
353,0,2,1,18,0,0,73.5
354,1,2,0,18,0,1,23
355,1,2,0,34,0,1,23
356,0,2,1,54,0,0,26
357,1,2,1,8,0,2,32.5
358,0,2,1,42,1,1,32.5
359,1,2,0,34,1,1,32.5
360,1,2,0,27,1,0,13.8583
361,1,2,0,30,1,0,13.8583
362,0,2,1,23,0,0,13
363,0,2,1,21,0,0,13
364,0,2,1,18,0,0,13
365,0,2,1,40,1,0,26
366,1,2,0,29,1,0,26
367,0,2,1,18,0,0,10.5
368,0,2,1,36,0,0,13
369,0,2,0,38,0,0,13
370,0,2,1,35,0,0,26
371,0,2,1,38,1,0,21
372,0,2,1,34,1,0,21
373,1,2,0,34,0,0,13
374,0,2,1,16,0,0,26
375,0,2,1,26,0,0,10.5
376,0,2,1,47,0,0,10.5
377,0,2,1,21,1,0,11.5
378,0,2,1,21,1,0,11.5
379,0,2,1,24,0,0,13.5
380,0,2,1,24,0,0,13
381,0,2,1,34,0,0,13
382,0,2,1,30,0,0,13
383,0,2,1,52,0,0,13
384,0,2,1,30,0,0,13
385,1,2,1,1,1,1,14.5
386,1,2,0,24,0,2,14.5
387,0,2,1,44,0,0,13
388,1,2,0,6,0,1,33
389,0,2,1,28,0,1,33
390,1,2,1,62,0,0,10.5
391,0,2,1,30,0,0,10.5
392,1,2,0,7,0,2,26.25
393,0,2,1,43,1,1,26.25
394,1,2,0,45,1,1,26.25
395,1,2,0,24,1,2,65
396,1,2,0,24,1,2,65
397,0,2,1,49,1,2,65
398,1,2,0,48,1,2,65
399,1,2,0,55,0,0,16
400,0,2,1,24,2,0,73.5
401,0,2,1,32,2,0,73.5
402,0,2,1,21,2,0,73.5
403,0,2,0,18,1,1,13
404,1,2,0,20,2,1,23
405,0,2,1,23,2,1,11.5
406,0,2,1,36,0,0,13
407,1,2,0,54,1,3,23
408,0,2,1,50,0,0,13
409,0,2,1,44,1,0,26
410,1,2,0,29,1,0,26
411,0,2,1,21,0,0,73.5
412,1,2,1,42,0,0,13
413,0,2,1,63,1,0,26
414,0,2,0,60,1,0,26
415,0,2,1,33,0,0,12.275
416,1,2,0,17,0,0,10.5
417,0,2,1,42,1,0,27
418,1,2,0,24,2,1,27
419,0,2,1,47,0,0,15
420,0,2,1,24,2,0,31.5
421,0,2,1,22,2,0,31.5
422,0,2,1,32,0,0,10.5
423,1,2,0,23,0,0,13.7917
424,0,2,1,34,1,0,26
425,1,2,0,24,1,0,26
426,0,2,0,22,0,0,21
427,0,2,1,35,0,0,12.35
428,1,2,0,45,0,0,13.5
429,0,2,1,57,0,0,12.35
430,0,2,1,31,0,0,10.5
431,0,2,0,26,1,1,26
432,0,2,1,30,1,1,26
433,1,2,0,1,1,2,39.5792
434,1,2,0,3,1,2,43.7792
435,0,2,1,25,1,2,41.5792
436,1,2,0,22,1,2,41.5792
437,1,2,0,17,0,0,12
438,1,2,0,34,0,0,10.5
439,0,2,1,36,0,0,12.875
440,0,2,1,24,0,0,10.5
441,0,2,1,61,0,0,12.35
442,0,2,1,50,1,0,26
443,1,2,0,42,1,0,26
444,0,2,0,57,0,0,10.5
445,1,2,1,1,0,2,37.0042
446,0,2,1,31,1,1,37.0042
447,1,2,0,24,1,1,37.0042
448,0,2,1,30,0,0,13
449,0,2,1,40,0,0,16
450,0,2,1,32,0,0,13.5
451,0,2,1,30,0,0,13
452,0,2,1,46,0,0,26
453,1,2,0,13,0,1,19.5
454,1,2,0,41,0,1,19.5
455,1,2,1,19,0,0,10.5
456,0,2,1,39,0,0,13
457,0,2,1,48,0,0,13
458,0,2,1,70,0,0,10.5
459,0,2,1,27,0,0,13
460,0,2,1,54,0,0,14
461,0,2,1,39,0,0,26
462,0,2,1,16,0,0,10.5
463,0,2,1,62,0,0,9.6875
464,0,2,1,33,1,0,30.0708
465,1,2,0,14,1,0,30.0708
466,1,2,1,2,1,1,26
467,1,2,1,3,1,1,26
468,0,2,1,37,0,2,26
469,0,2,1,26,0,0,13
470,0,2,1,19,1,1,36.75
471,0,2,1,28,0,0,13.5
472,1,2,1,20,0,0,13.8625
473,1,2,0,29,0,0,10.5
474,0,2,1,39,0,0,13
475,1,2,1,22,0,0,10.5
476,0,2,1,23,0,0,10.5
477,1,2,1,29,0,0,13.8583
478,0,2,1,28,0,0,10.5
479,1,2,0,50,0,1,26
480,0,2,1,19,0,0,10.5
481,0,2,1,41,0,0,13
482,1,2,0,21,0,1,21
483,1,2,0,19,0,0,26
484,0,2,1,43,0,1,21
485,1,2,0,32,0,0,13
486,0,2,1,34,0,0,13
487,1,2,1,30,0,0,12.7375
488,0,2,1,27,0,0,15.0333
489,1,2,0,2,1,1,26
490,1,2,0,8,1,1,26
491,1,2,0,33,0,2,26
492,0,2,1,36,0,0,10.5
493,0,2,1,34,1,0,21
494,1,2,0,30,3,0,21
495,1,2,0,28,0,0,13
496,0,2,1,23,0,0,15.0458
497,1,2,1,1,1,1,18.75
498,1,2,1,3,1,1,18.75
499,1,2,0,24,2,3,18.75
500,1,2,0,50,0,0,10.5
501,0,2,1,19,0,0,10.5
502,1,2,0,21,0,0,10.5
503,0,2,1,26,0,0,13
504,0,2,1,25,0,0,13
505,0,2,1,27,0,0,26
506,1,2,0,25,0,1,26
507,1,2,0,18,0,2,13
508,1,2,0,20,0,0,36.75
509,1,2,0,30,0,0,13
510,0,2,1,59,0,0,13.5
511,1,2,0,30,0,0,12.35
512,0,2,1,35,0,0,10.5
513,1,2,0,40,0,0,13
514,0,2,1,25,0,0,13
515,0,2,1,41,0,0,15.0458
516,0,2,1,25,0,0,10.5
517,0,2,1,19,0,0,13
518,0,2,1,14,0,0,65
519,1,2,0,50,0,0,10.5
520,0,2,1,23,0,0,13
521,1,2,0,28,0,0,12.65
522,1,2,0,27,0,0,10.5
523,0,2,1,29,1,0,21
524,0,2,0,27,1,0,21
525,0,2,1,40,0,0,13
526,1,2,0,31,0,0,21
527,0,2,1,30,1,0,21
528,0,2,1,23,1,0,10.5
529,1,2,0,31,0,0,21
530,1,2,0,12,0,0,15.75
531,1,2,0,40,0,0,15.75
532,1,2,0,33,0,0,13
533,0,2,1,27,1,0,26
534,1,2,0,29,1,0,26
535,1,2,1,2,1,1,23
536,1,2,0,4,1,1,23
537,1,2,0,29,0,2,23
538,1,2,0,1,1,2,27.75
539,1,2,0,5,1,2,27.75
540,0,2,1,36,1,2,27.75
541,1,2,0,33,1,2,27.75
542,0,2,1,66,0,0,10.5
543,1,2,1,31,0,0,13
544,1,2,0,26,0,0,13.5
545,0,2,0,24,0,0,13
546,0,3,1,42,0,0,7.55
547,0,3,1,13,0,2,20.25
548,0,3,1,16,1,1,20.25
549,1,3,0,35,1,1,20.25
550,1,3,0,16,0,0,7.65
551,1,3,1,25,0,0,7.65
552,1,3,1,20,0,0,7.925
553,1,3,0,18,0,0,7.2292
554,0,3,1,30,0,0,7.25
555,0,3,1,26,0,0,8.05
556,0,3,0,40,1,0,9.475
557,1,3,1,1,0,1,9.35
558,1,3,0,18,0,1,9.35
559,1,3,1,26,0,0,18.7875
560,0,3,1,26,0,0,7.8875
561,0,3,1,20,0,0,7.925
562,0,3,1,24,0,0,7.05
563,0,3,1,25,0,0,7.05
564,0,3,1,35,0,0,8.05
565,0,3,1,18,0,0,8.3
566,0,3,1,32,0,0,22.525
567,1,3,0,19,1,0,7.8542
568,0,3,1,4,4,2,31.275
569,0,3,0,6,4,2,31.275
570,0,3,0,2,4,2,31.275
571,1,3,0,17,4,2,7.925
572,0,3,0,38,4,2,7.775
573,0,3,0,9,4,2,31.275
574,0,3,0,11,4,2,31.275
575,0,3,1,39,1,5,31.275
576,1,3,1,27,0,0,7.7958
577,0,3,1,26,0,0,7.775
578,0,3,0,39,1,5,31.275
579,0,3,1,20,0,0,7.8542
580,0,3,1,26,0,0,7.8958
581,0,3,1,25,1,0,17.8
582,0,3,0,18,1,0,17.8
583,0,3,1,24,0,0,7.775
584,0,3,1,35,0,0,7.05
585,0,3,1,5,4,2,31.3875
586,0,3,1,9,4,2,31.3875
587,1,3,1,3,4,2,31.3875
588,0,3,1,13,4,2,31.3875
589,1,3,0,5,4,2,31.3875
590,0,3,1,40,1,5,31.3875
591,1,3,1,23,0,0,7.7958
592,1,3,0,38,1,5,31.3875
593,1,3,0,45,0,0,7.225
594,0,3,1,21,0,0,7.225
595,0,3,1,23,0,0,7.05
596,0,3,0,17,0,0,14.4583
597,0,3,1,30,0,0,7.225
598,0,3,1,23,0,0,7.8542
599,1,3,0,13,0,0,7.2292
600,0,3,1,20,0,0,7.225
601,0,3,1,32,1,0,15.85
602,1,3,0,33,3,0,15.85
603,1,3,0,1,2,1,19.2583
604,1,3,0,1,2,1,19.2583
605,1,3,0,5,2,1,19.2583
606,1,3,0,24,0,3,19.2583
607,1,3,0,18,0,0,8.05
608,0,3,1,40,0,0,7.225
609,0,3,1,26,0,0,7.8958
610,1,3,1,20,0,0,7.2292
611,0,3,0,18,0,1,14.4542
612,0,3,0,45,0,1,14.4542
613,0,3,0,27,0,0,7.8792
614,0,3,1,22,0,0,8.05
615,0,3,1,19,0,0,8.05
616,0,3,1,26,0,0,7.775
617,0,3,1,22,0,0,9.35
618,0,3,1,20,0,0,4.0125
619,1,3,1,32,0,0,56.4958
620,0,3,1,21,0,0,7.775
621,0,3,1,18,0,0,7.75
622,0,3,1,26,0,0,7.8958
623,0,3,1,6,1,1,15.2458
624,0,3,0,9,1,1,15.2458
625,0,3,1,40,1,1,15.5
626,0,3,0,32,1,1,15.5
627,0,3,1,21,0,0,16.1
628,1,3,0,22,0,0,7.725
629,0,3,0,20,0,0,7.8542
630,0,3,1,29,1,0,7.0458
631,0,3,1,22,1,0,7.25
632,0,3,1,22,0,0,7.7958
633,0,3,1,35,0,0,8.05
634,0,3,0,19,0,0,7.2833
635,1,3,1,21,0,0,7.8208
636,0,3,1,19,0,0,6.75
637,0,3,0,18,0,0,7.8792
638,0,3,0,21,0,0,8.6625
639,0,3,0,30,0,0,8.6625
640,0,3,1,18,0,0,8.6625
641,0,3,1,38,0,0,8.6625
642,0,3,1,17,0,0,8.6625
643,0,3,1,17,0,0,8.6625
644,0,3,0,21,0,0,7.75
645,0,3,1,21,0,0,7.75
646,0,3,1,21,0,0,8.05
647,0,3,1,28,0,0,7.7958
648,0,3,1,24,0,0,7.8542
649,1,3,0,16,0,0,7.75
650,0,3,0,37,0,0,7.75
651,0,3,1,28,0,0,7.25
652,0,3,1,24,0,0,8.05
653,0,3,1,21,0,0,7.7333
654,1,3,1,32,0,0,56.4958
655,0,3,1,29,0,0,8.05
656,0,3,1,26,1,0,14.4542
657,0,3,1,18,1,0,14.4542
658,0,3,1,20,0,0,7.05
659,1,3,1,18,0,0,8.05
660,0,3,1,24,0,0,7.25
661,0,3,1,36,0,0,7.4958
662,0,3,1,24,0,0,7.4958
663,0,3,1,31,0,0,7.7333
664,0,3,1,31,0,0,7.75
665,1,3,0,22,0,0,7.75
666,0,3,0,30,0,0,7.6292
667,0,3,1,71,0,0,7.75
668,0,3,1,43,0,0,8.05
669,0,3,1,35,0,0,7.8958
670,0,3,1,27,0,0,7.8958
671,0,3,1,19,0,0,7.8958
672,0,3,1,30,0,0,8.05
673,1,3,1,9,1,1,15.9
674,1,3,1,3,1,1,15.9
675,1,3,0,36,0,2,15.9
676,0,3,1,59,0,0,7.25
677,0,3,1,19,0,0,8.1583
678,1,3,0,17,0,1,16.1
679,0,3,1,44,0,1,16.1
680,0,3,1,17,0,0,8.6625
681,0,3,1,23,0,0,7.225
682,1,3,1,45,0,0,8.05
683,0,3,0,22,0,0,10.5167
684,0,3,1,19,0,0,10.1708
685,1,3,0,30,0,0,6.95
686,1,3,1,29,0,0,7.75
687,0,3,1,1,0,2,14.4
688,0,3,1,34,1,1,14.4
689,0,3,0,28,1,1,14.4
690,0,3,1,27,0,0,7.8958
691,0,3,1,25,0,0,7.8958
692,0,3,1,24,2,0,24.15
693,0,3,1,22,0,0,8.05
694,0,3,1,21,2,0,24.15
695,0,3,1,17,2,0,8.05
696,1,3,1,37,1,0,17.4
697,1,3,0,36,1,0,17.4
698,1,3,1,30,0,0,9.5
699,0,3,1,16,0,0,9.5
700,1,3,1,1,1,2,20.575
701,1,3,0,1,1,2,20.575
702,0,3,1,26,1,2,20.575
703,1,3,0,33,1,2,20.575
704,0,3,1,25,0,0,7.8958
705,0,3,1,22,0,0,7.25
706,0,3,1,36,0,0,7.25
707,1,3,0,19,0,0,7.8792
708,0,3,1,17,0,0,7.8958
709,0,3,1,42,0,0,8.6625
710,0,3,1,43,0,0,7.8958
711,0,3,1,32,0,0,7.75
712,1,3,1,19,0,0,8.05
713,1,3,0,30,0,0,12.475
714,0,3,0,24,0,0,7.75
715,1,3,0,23,0,0,8.05
716,0,3,1,33,0,0,7.8958
717,0,3,1,65,0,0,7.75
718,1,3,1,24,0,0,7.55
719,0,3,1,23,1,0,13.9
720,1,3,0,22,1,0,13.9
721,0,3,1,18,0,0,7.775
722,0,3,1,16,0,0,7.775
723,0,3,1,45,0,0,6.975
724,0,3,1,39,0,2,7.2292
725,0,3,1,17,1,1,7.2292
726,0,3,1,15,1,1,7.2292
727,0,3,1,47,0,0,7.25
728,1,3,0,5,0,0,12.475
729,0,3,1,41,0,0,15.1
730,0,3,1,41,0,0,7.75
731,0,3,1,18,0,0,7.7958
732,0,3,1,26,0,0,7.8792
733,0,3,0,21,2,2,34.375
734,0,3,0,9,2,2,34.375
735,0,3,1,18,2,2,34.375
736,0,3,1,16,1,3,34.375
737,0,3,0,48,1,3,34.375
738,0,3,1,25,0,0,7.7417
739,0,3,1,22,0,0,8.05
740,1,3,0,16,0,0,7.7333
741,1,3,1,9,0,2,20.525
742,0,3,1,33,1,1,20.525
743,0,3,1,41,0,0,7.85
744,1,3,0,28,1,1,20.525
745,0,3,1,38,0,0,7.05
746,0,3,1,9,5,2,46.9
747,0,3,1,1,5,2,46.9
748,0,3,1,11,5,2,46.9
749,0,3,0,10,5,2,46.9
750,0,3,0,16,5,2,46.9
751,0,3,1,14,5,2,46.9
752,0,3,1,40,1,6,46.9
753,0,3,0,43,1,6,46.9
754,0,3,1,51,0,0,8.05
755,0,3,1,32,0,0,8.3625
756,0,3,1,20,0,0,9.8458
757,0,3,1,37,2,0,7.925
758,0,3,1,28,2,0,7.925
759,0,3,1,19,0,0,7.775
760,0,3,0,24,0,0,8.85
761,0,3,0,17,0,0,7.7333
762,0,3,1,28,1,0,15.85
763,1,3,0,24,1,0,15.85
764,0,3,1,20,0,0,9.5
765,0,3,1,24,0,0,7.2292
766,0,3,1,41,2,0,14.1083
767,0,3,1,26,1,0,7.8542
768,0,3,1,21,0,0,7.8542
769,1,3,0,45,1,0,14.1083
770,0,3,1,25,0,0,7.25
771,0,3,1,11,0,0,18.7875
772,1,3,1,27,0,0,6.975
773,0,3,0,18,0,0,6.75
774,1,3,0,26,0,0,7.925
775,0,3,0,23,0,0,7.925
776,1,3,0,22,0,0,8.9625
777,0,3,1,28,0,0,7.8958
778,0,3,0,28,0,0,7.775
779,1,3,0,2,0,1,12.2875
780,1,3,0,22,1,1,12.2875
781,0,3,1,43,0,0,6.45
782,0,3,1,28,0,0,22.525
783,1,3,0,27,0,0,7.925
784,0,3,1,42,0,0,7.65
